classifier_name,dataset_name,accuracy
ZCR,Beef,0.803333333
ZCR,BirdChicken,0.915
ZCR,Car,0.93
ZCR,CricketX,0.818717949
ZCR,CricketY,0.847692308
ZCR,CricketZ,0.856153846
ZCR,DistalPhalanxTW,0.703597122
ZCR,ECG5000,0.946977778
ZCR,FiftyWords,0.823516484
ZCR,Fish,0.978857143
ZCR,FordA,0.965151515
ZCR,FordB,0.928765432
ZCR,Haptics,0.533441558
ZCR,Herring,0.6265625
ZCR,InsectWingbeatSound,0.66540404
ZCR,ItalyPowerDemand,0.95675413
ZCR,LargeKitchenAppliances,0.9304
ZCR,Lightning7,0.77260274
ZCR,Meat,0.97
ZCR,MedicalImages,0.808552632
ZCR,MiddlePhalanxOutlineAgeGroup,0.718181818
ZCR,MiddlePhalanxOutlineCorrect,0.843298969
ZCR,OliveOil,0.906666667
ZCR,OSULeaf,0.975619835
ZCR,Phoneme,0.328850211
ZCR,Plane,1
ZCR,ProximalPhalanxOutlineCorrect,0.904467354
ZCR,ProximalPhalanxTW,0.813658537
ZCR,ScreenType,0.686933333
ZCR,ShapeletSim,0.956111111
ZCR,Strawberry,0.978108108
ZCR,SwedishLeaf,0.97024
ZCR,SyntheticControl,0.996333333
ZCR,ToeSegmentation1,0.952192982
ZCR,Trace,1
ZCR,UWaveGestureLibraryY,0.799860413
ZCR,Wafer,0.999983777
ZCR,WordSynonyms,0.755015674
ZCR,Worms,0.764935065
ZCR,Yoga,0.949633333
PPV,Beef,0.786666667
PPV,BirdChicken,0.895
PPV,Car,0.931666667
PPV,CricketX,0.828717949
PPV,CricketY,0.846666667
PPV,CricketZ,0.859230769
PPV,DistalPhalanxTW,0.703597122
PPV,ECG5000,0.946622222
PPV,FiftyWords,0.84021978
PPV,Fish,0.985142857
PPV,FordA,0.95280303
PPV,FordB,0.920740741
PPV,Haptics,0.549675325
PPV,Herring,0.625
PPV,InsectWingbeatSound,0.669393939
PPV,ItalyPowerDemand,0.959183673
PPV,LargeKitchenAppliances,0.938133333
PPV,Lightning7,0.815068493
PPV,Meat,0.986666667
PPV,MedicalImages,0.814078947
PPV,MiddlePhalanxOutlineAgeGroup,0.707142857
PPV,MiddlePhalanxOutlineCorrect,0.847766323
PPV,OliveOil,0.92
PPV,OSULeaf,0.975206612
PPV,Phoneme,0.288607595
PPV,Plane,1
PPV,ProximalPhalanxOutlineCorrect,0.903092784
PPV,ProximalPhalanxTW,0.82
PPV,ScreenType,0.6672
PPV,ShapeletSim,0.998888889
PPV,Strawberry,0.978648649
PPV,SwedishLeaf,0.97456
PPV,SyntheticControl,0.996
PPV,ToeSegmentation1,0.943421053
PPV,Trace,1
PPV,UWaveGestureLibraryY,0.79798995
PPV,Wafer,0.99995133
PPV,WordSynonyms,0.776645768
PPV,Worms,0.753246753
PPV,Yoga,0.9449
ZCR+PPV,Beef,0.793333333
ZCR+PPV,BirdChicken,0.905
ZCR+PPV,Car,0.931666667
ZCR+PPV,CricketX,0.827948718
ZCR+PPV,CricketY,0.852564103
ZCR+PPV,CricketZ,0.86
ZCR+PPV,DistalPhalanxTW,0.711510791
ZCR+PPV,ECG5000,0.947333333
ZCR+PPV,FiftyWords,0.836263736
ZCR+PPV,Fish,0.981142857
ZCR+PPV,FordA,0.961515152
ZCR+PPV,FordB,0.92308642
ZCR+PPV,Haptics,0.549350649
ZCR+PPV,Herring,0.63125
ZCR+PPV,InsectWingbeatSound,0.666969697
ZCR+PPV,ItalyPowerDemand,0.9595724
ZCR+PPV,LargeKitchenAppliances,0.933333333
ZCR+PPV,Lightning7,0.797260274
ZCR+PPV,Meat,0.985
ZCR+PPV,MedicalImages,0.818552632
ZCR+PPV,MiddlePhalanxOutlineAgeGroup,0.715584416
ZCR+PPV,MiddlePhalanxOutlineCorrect,0.843986254
ZCR+PPV,OliveOil,0.906666667
ZCR+PPV,OSULeaf,0.976859504
ZCR+PPV,Phoneme,0.314978903
ZCR+PPV,Plane,1
ZCR+PPV,ProximalPhalanxOutlineCorrect,0.905841924
ZCR+PPV,ProximalPhalanxTW,0.815609756
ZCR+PPV,ScreenType,0.680266667
ZCR+PPV,ShapeletSim,0.983333333
ZCR+PPV,Strawberry,0.979459459
ZCR+PPV,SwedishLeaf,0.97392
ZCR+PPV,SyntheticControl,0.997333333
ZCR+PPV,ToeSegmentation1,0.943859649
ZCR+PPV,Trace,1
ZCR+PPV,UWaveGestureLibraryY,0.802400893
ZCR+PPV,Wafer,0.999983777
ZCR+PPV,WordSynonyms,0.773824451
ZCR+PPV,Worms,0.746753247
ZCR+PPV,Yoga,0.951233333
ZCR+PPV+MPV,Beef,0.79
ZCR+PPV+MPV,BirdChicken,0.895
ZCR+PPV+MPV,Car,0.926666667
ZCR+PPV+MPV,CricketX,0.82974359
ZCR+PPV+MPV,CricketY,0.853589744
ZCR+PPV+MPV,CricketZ,0.859230769
ZCR+PPV+MPV,DistalPhalanxTW,0.712230216
ZCR+PPV+MPV,ECG5000,0.946977778
ZCR+PPV+MPV,FiftyWords,0.841538462
ZCR+PPV+MPV,Fish,0.981714286
ZCR+PPV+MPV,FordA,0.958787879
ZCR+PPV+MPV,FordB,0.924814815
