classifier_name,dataset_name,accuracy
raw,Beef,0.8
raw,BirdChicken,0.915
raw,Car,0.918333333
raw,CricketX,0.833333333
raw,CricketY,0.853589744
raw,CricketZ,0.865128205
raw,DistalPhalanxTW,0.700719424
raw,ECG5000,0.9464
raw,FiftyWords,0.84
raw,Fish,0.981714286
raw,FordA,0.949924242
raw,FordB,0.922098765
raw,Haptics,0.56525974
raw,Herring,0.6265625
raw,InsectWingbeatSound,0.667424242
raw,ItalyPowerDemand,0.955393586
raw,LargeKitchenAppliances,0.9368
raw,Lightning7,0.791780822
raw,Meat,0.99
raw,MedicalImages,0.813157895
raw,MiddlePhalanxOutlineAgeGroup,0.702597403
raw,MiddlePhalanxOutlineCorrect,0.835395189
raw,OliveOil,0.916666667
raw,OSULeaf,0.966942149
raw,Phoneme,0.325369198
raw,Plane,1
raw,ProximalPhalanxOutlineCorrect,0.901030928
raw,ProximalPhalanxTW,0.816585366
raw,ScreenType,0.653866667
raw,ShapeletSim,1
raw,Strawberry,0.978378378
raw,SwedishLeaf,0.97136
raw,SyntheticControl,0.996666667
raw,ToeSegmentation1,0.946052632
raw,Trace,1
raw,UWaveGestureLibraryY,0.803266332
raw,Wafer,0.99944841
raw,WordSynonyms,0.781347962
raw,Worms,0.741558442
raw,Yoga,0.932333333
diff,Beef,0.756666667
diff,BirdChicken,0.895
diff,Car,0.92
diff,CricketX,0.743589744
diff,CricketY,0.77025641
diff,CricketZ,0.76974359
diff,DistalPhalanxTW,0.703597122
diff,ECG5000,0.944466667
diff,FiftyWords,0.820879121
diff,Fish,0.987428571
diff,FordA,0.962954545
diff,FordB,0.927901235
diff,Haptics,0.488961039
diff,Herring,0.6328125
diff,InsectWingbeatSound,0.66489899
diff,ItalyPowerDemand,0.958017493
diff,LargeKitchenAppliances,0.933333333
diff,Lightning7,0.65890411
diff,Meat,0.963333333
diff,MedicalImages,0.768026316
diff,MiddlePhalanxOutlineAgeGroup,0.715584416
diff,MiddlePhalanxOutlineCorrect,0.853264605
diff,OliveOil,0.896666667
diff,OSULeaf,0.972727273
diff,Phoneme,0.343196203
diff,Plane,1
diff,ProximalPhalanxOutlineCorrect,0.909278351
diff,ProximalPhalanxTW,0.818536585
diff,ScreenType,0.685866667
diff,ShapeletSim,0.992777778
diff,Strawberry,0.976756757
diff,SwedishLeaf,0.97504
diff,SyntheticControl,0.857
diff,ToeSegmentation1,0.90745614
diff,Trace,1
diff,UWaveGestureLibraryY,0.782747069
diff,Wafer,0.999918884
diff,WordSynonyms,0.748432602
diff,Worms,0.732467532
diff,Yoga,0.9458
hilbert,Beef,0.783333333
hilbert,BirdChicken,0.9
hilbert,Car,0.923333333
hilbert,CricketX,0.833076923
hilbert,CricketY,0.844615385
hilbert,CricketZ,0.861282051
hilbert,DistalPhalanxTW,0.702158273
hilbert,ECG5000,0.946066667
hilbert,FiftyWords,0.837362637
hilbert,Fish,0.981142857
hilbert,FordA,0.95030303
hilbert,FordB,0.923703704
hilbert,Haptics,0.561688312
hilbert,Herring,0.625
hilbert,InsectWingbeatSound,0.653585859
hilbert,ItalyPowerDemand,0.962001944
hilbert,LargeKitchenAppliances,0.906933333
hilbert,Lightning7,0.806849315
hilbert,Meat,0.99
hilbert,MedicalImages,0.814342105
hilbert,MiddlePhalanxOutlineAgeGroup,0.698051948
hilbert,MiddlePhalanxOutlineCorrect,0.851546392
hilbert,OliveOil,0.913333333
hilbert,OSULeaf,0.960743802
hilbert,Phoneme,0.318248945
hilbert,Plane,1
