dataset_name,KG-MTP,HIVE-COTE 2.0,Hydra+MultiRocket,TS-CHIEF,InceptionTime,DrCIF,TDE,STC,Hydra,MultiRocket
ACSF1,0.854333333,0.833333333,0.832667,0.807,0.826666667,0.784333333,0.794333333,0.8,0.806667,0.833666667
Adiac,0.83597613,0.795140665,0.823956,0.779710145,0.822080136,0.809633419,0.752088662,0.786189258,0.815772,0.823103154
ArrowHead,0.899047619,0.886285714,0.897143,0.881142857,0.880380952,0.825333333,0.903047619,0.793333333,0.869714,0.895238095
Beef,0.797777778,0.796666667,0.782222,0.632222222,0.682222222,0.791111111,0.7,0.738888889,0.805556,0.77
BeetleFly,0.918333333,0.903333333,0.906667,0.958333333,0.893333333,0.878333333,0.936666667,0.938333333,0.951667,0.896666667
BirdChicken,0.906666667,0.951666667,0.896667,0.963333333,0.951666667,0.948333333,0.97,0.878333333,0.918333,0.888333333
BME,1,0.999555556,1,0.996444444,0.996444444,0.999555556,0.914888889,0.928888889,1,1
Car,0.930555556,0.907777778,0.926111,0.878888889,0.901111111,0.843888889,0.87,0.837222222,0.927778,0.92
CBF,0.996703704,0.997925926,0.993259,0.998444444,0.996111111,0.984777778,0.996703704,0.985407407,0.991852,0.99262963
Chinatown,0.969290573,0.973566569,0.967055,0.961835749,0.964820214,0.979903382,0.953816425,0.964820214,0.968222,0.966666667
ChlorineConcentration,0.782907986,0.769019097,0.783464,0.660842014,0.863611111,0.739427083,0.697491319,0.740703125,0.763385,0.780711806
CinCECGTorso,0.974661836,0.998236715,0.969589,0.953429952,0.832125604,0.993961353,0.983864734,0.968864734,0.99413,0.949613527
Coffee,1,0.998809524,1,0.99047619,0.998809524,0.998809524,0.99047619,0.989285714,0.997619,1
Computers,0.874933333,0.858533333,0.8624,0.753866667,0.865866667,0.816666667,0.817466667,0.804933333,0.818533,0.8508
CricketX,0.836581197,0.83991453,0.825128,0.83042735,0.853333333,0.772735043,0.811367521,0.787521368,0.806581,0.82
CricketY,0.86042735,0.85042735,0.851709,0.817008547,0.85982906,0.799059829,0.801111111,0.76957265,0.828376,0.841709402
CricketZ,0.857094017,0.859487179,0.843162,0.838205128,0.860940171,0.792393162,0.821111111,0.805555556,0.822564,0.837692308
