classifier_name,dataset_name,accuracy
KG-MTP80k,Beef,0.79
KG-MTP80k,BirdChicken,0.895
KG-MTP80k,Car,0.936666667
KG-MTP80k,CricketX,0.834358974
KG-MTP80k,CricketY,0.862820513
KG-MTP80k,CricketZ,0.86
KG-MTP80k,DistalPhalanxTW,0.709352518
KG-MTP80k,ECG5000,0.946866667
KG-MTP80k,FiftyWords,0.847912088
KG-MTP80k,Fish,0.984571429
KG-MTP80k,FordA,0.959015152
KG-MTP80k,FordB,0.927283951
KG-MTP80k,Haptics,0.562012987
KG-MTP80k,Herring,0.6453125
KG-MTP80k,InsectWingbeatSound,0.668535354
KG-MTP80k,ItalyPowerDemand,0.960349854
KG-MTP80k,LargeKitchenAppliances,0.94
KG-MTP80k,Lightning7,0.801369863
KG-MTP80k,Meat,0.985
KG-MTP80k,MedicalImages,0.826184211
KG-MTP80k,MiddlePhalanxOutlineAgeGroup,0.707792208
KG-MTP80k,MiddlePhalanxOutlineCorrect,0.845704467
KG-MTP80k,OliveOil,0.91
KG-MTP80k,OSULeaf,0.973966942
KG-MTP80k,Phoneme,0.343881857
KG-MTP80k,Plane,1
KG-MTP80k,ProximalPhalanxOutlineCorrect,0.903780069
KG-MTP80k,ProximalPhalanxTW,0.814634146
KG-MTP80k,ScreenType,0.684
KG-MTP80k,ShapeletSim,1
KG-MTP80k,Strawberry,0.978648649
KG-MTP80k,SwedishLeaf,0.97536
KG-MTP80k,SyntheticControl,0.996333333
KG-MTP80k,ToeSegmentation1,0.942982456
KG-MTP80k,Trace,1
KG-MTP80k,UWaveGestureLibraryY,0.813623674
KG-MTP80k,Wafer,0.999902661
KG-MTP80k,WordSynonyms,0.790282132
KG-MTP80k,Worms,0.758441558
KG-MTP80k,Yoga,0.953033333
KG-MTP50k(default),Beef,0.793333333
KG-MTP50k(default),BirdChicken,0.895
KG-MTP50k(default),Car,0.928333333
KG-MTP50k(default),CricketX,0.831282051
KG-MTP50k(default),CricketY,0.856153846
KG-MTP50k(default),CricketZ,0.860512821
KG-MTP50k(default),DistalPhalanxTW,0.710071942
KG-MTP50k(default),ECG5000,0.947066667
KG-MTP50k(default),FiftyWords,0.846593407
KG-MTP50k(default),Fish,0.985714286
KG-MTP50k(default),FordA,0.95969697
KG-MTP50k(default),FordB,0.927654321
KG-MTP50k(default),Haptics,0.562662338
KG-MTP50k(default),Herring,0.65
KG-MTP50k(default),InsectWingbeatSound,0.670252525
KG-MTP50k(default),ItalyPowerDemand,0.959961127
KG-MTP50k(default),LargeKitchenAppliances,0.940266667
KG-MTP50k(default),Lightning7,0.801369863
KG-MTP50k(default),Meat,0.983333333
KG-MTP50k(default),MedicalImages,0.821315789
KG-MTP50k(default),MiddlePhalanxOutlineAgeGroup,0.70974026
KG-MTP50k(default),MiddlePhalanxOutlineCorrect,0.849484536
KG-MTP50k(default),OliveOil,0.906666667
KG-MTP50k(default),OSULeaf,0.974793388
KG-MTP50k(default),Phoneme,0.344778481
KG-MTP50k(default),Plane,1
KG-MTP50k(default),ProximalPhalanxOutlineCorrect,0.902061856
KG-MTP50k(default),ProximalPhalanxTW,0.815609756
KG-MTP50k(default),ScreenType,0.688
KG-MTP50k(default),ShapeletSim,1
KG-MTP50k(default),Strawberry,0.978378378
KG-MTP50k(default),SwedishLeaf,0.97424
KG-MTP50k(default),SyntheticControl,0.996666667
KG-MTP50k(default),ToeSegmentation1,0.946929825
KG-MTP50k(default),Trace,1
KG-MTP50k(default),UWaveGestureLibraryY,0.810608599
KG-MTP50k(default),Wafer,0.999918884
KG-MTP50k(default),WordSynonyms,0.789968652
KG-MTP50k(default),Worms,0.757142857
KG-MTP50k(default),Yoga,0.951766667
KG-MTP100k,Beef,0.79
KG-MTP100k,BirdChicken,0.895
KG-MTP100k,Car,0.935
KG-MTP100k,CricketX,0.835384615
KG-MTP100k,CricketY,0.858205128
KG-MTP100k,CricketZ,0.862564103
KG-MTP100k,DistalPhalanxTW,0.710791367
KG-MTP100k,ECG5000,0.946733333
KG-MTP100k,FiftyWords,0.848791209
KG-MTP100k,Fish,0.984571429
KG-MTP100k,FordA,0.958484848
KG-MTP100k,FordB,0.927283951
KG-MTP100k,Haptics,0.56525974
KG-MTP100k,Herring,0.640625
KG-MTP100k,InsectWingbeatSound,0.668686869
KG-MTP100k,ItalyPowerDemand,0.960349854
KG-MTP100k,LargeKitchenAppliances,0.938933333
KG-MTP100k,Lightning7,0.797260274
KG-MTP100k,Meat,0.981666667
KG-MTP100k,MedicalImages,0.827368421
KG-MTP100k,MiddlePhalanxOutlineAgeGroup,0.724025974
KG-MTP100k,MiddlePhalanxOutlineCorrect,0.842611684
KG-MTP100k,OliveOil,0.903333333
KG-MTP100k,OSULeaf,0.974380165
KG-MTP100k,Phoneme,0.339345992
KG-MTP100k,Plane,1
KG-MTP100k,ProximalPhalanxOutlineCorrect,0.904467354
