classifier_name,dataset_name,accuracy,,,,,
3,Beef,0.8,,,,,
3,BirdChicken,0.9,,,,,
3,Car,0.933333333,,,,,
3,CricketX,0.823076923,,,,,
3,CricketY,0.848717949,,,,,
3,CricketZ,0.850512821,,,,,
3,DistalPhalanxTW,0.705035971,,,,,
3,ECG5000,0.946377778,,,,,
3,FiftyWords,0.846813187,,,,,
3,Fish,0.989714286,,,,,
3,FordA,0.969318182,,,,,
3,FordB,0.922345679,,,,,
3,Haptics,0.562987013,,,,,
3,Herring,0.6359375,,,,,
3,InsectWingbeatSound,0.669494949,,,,,
3,ItalyPowerDemand,0.957725948,,,,,
3,LargeKitchenAppliances,0.933066667,,,,,
3,Lightning7,0.790410959,,,,,
3,Meat,0.981666667,,,,,
3,MedicalImages,0.825789474,,,,,
3,MiddlePhalanxOutlineAgeGroup,0.717532468,,,,,
3,MiddlePhalanxOutlineCorrect,0.843298969,,,,,
3,OliveOil,0.906666667,,,,,
3,OSULeaf,0.973553719,,,,,
3,Phoneme,0.353850211,,,,,
3,Plane,1,,,,,
3,ProximalPhalanxOutlineCorrect,0.90652921,,,,,
3,ProximalPhalanxTW,0.817073171,,,,,
3,ScreenType,0.6832,,,,,
3,ShapeletSim,1,,,,,
3,Strawberry,0.977027027,,,,,
3,SwedishLeaf,0.97664,,,,,
3,SyntheticControl,0.994333333,,,,,
3,ToeSegmentation1,0.937719298,,,,,
3,Trace,1,,,,,
3,UWaveGestureLibraryY,0.806448911,,,,,
3,Wafer,0.999837768,,,,,
3,WordSynonyms,0.786520376,,,,,
3,Worms,0.751948052,,,,,
3,Yoga,0.955833333,,,,,
4,Beef,0.796666667,,,,,
4,BirdChicken,0.895,,,,,
4,Car,0.928333333,,,,,
4,CricketX,0.828205128,,,,,
4,CricketY,0.859230769,,,,,
4,CricketZ,0.856923077,,,,,
4,DistalPhalanxTW,0.71294964,,,,,
4,ECG5000,0.946422222,,,,,
4,FiftyWords,0.846153846,,,,,
4,Fish,0.984571429,,,,,
4,FordA,0.95530303,,,,,
4,FordB,0.926419753,,,,,
4,Haptics,0.560714286,,,,,
4,Herring,0.6421875,,,,,
4,InsectWingbeatSound,0.667272727,,,,,
4,ItalyPowerDemand,0.958114674,,,,,
4,LargeKitchenAppliances,0.932266667,,,,,
4,Lightning7,0.797260274,,,,,
4,Meat,0.983333333,,,,,
4,MedicalImages,0.829210526,,,,,
4,MiddlePhalanxOutlineAgeGroup,0.715584416,,,,,
4,MiddlePhalanxOutlineCorrect,0.852233677,,,,,
4,OliveOil,0.906666667,,,,,
4,OSULeaf,0.975619835,,,,,
4,Phoneme,0.345886076,,,,,
4,Plane,1,,,,,
4,ProximalPhalanxOutlineCorrect,0.908934708,,,,,
4,ProximalPhalanxTW,0.812682927,,,,,
4,ScreenType,0.671733333,,,,,
4,ShapeletSim,0.999444444,,,,,
4,Strawberry,0.978378378,,,,,
4,SwedishLeaf,0.97808,,,,,
4,SyntheticControl,0.996666667,,,,,
4,ToeSegmentation1,0.942105263,,,,,
4,Trace,1,,,,,
4,UWaveGestureLibraryY,0.808431044,,,,,
4,Wafer,0.999918884,,,,,
4,WordSynonyms,0.786520376,,,,,
4,Worms,0.745454545,,,,,
4,Yoga,0.952833333,,,,,
5,Beef,0.796666667,,,,,
