,KG-MTP,Hydra+MultiRocket,MultiRocket,Hydra,Rocket20k,MiniRocket10k,KG-MTP10k,KG-MTP30k,KG-MTP80k,KG-MTP100k,KG-MTP50kTrainClassifier,KG-MTP50kConvTime
ACSF1,13.59077622,12.67378398,6.180960033,7.202557538,59.4093095,2.45300661,3.274500482,11.11704708,21.35505973,22.14680078,0.41615206,3.018322103
Adiac,8.491350695,6.907203935,4.39063547,2.118240133,27.06956292,1.276860595,2.573562026,6.516011782,12.35881328,16.35275596,1.922307745,1.687766433
ArrowHead,1.367422681,0.834364686,0.712143674,0.199608609,10.37909227,0.196564734,0.332659662,1.036905639,2.049657427,1.856574558,0.107128255,0.303602837
Beef,1.663747393,1.189104553,0.848548306,0.375804607,5.678256156,0.304691873,0.439641669,1.236901715,2.234831288,2.633300528,0.085253201,0.408411592
BeetleFly,1.351644516,0.911559679,0.669083827,0.252810858,4.080278143,0.247822344,0.343115874,0.951697081,1.661425948,1.911523774,0.060117759,0.327384144
BirdChicken,1.393687773,0.970098961,0.721748671,0.257701676,4.159415076,0.255405024,0.346598692,1.008434549,1.832922772,1.992724955,0.064207383,0.351750329
BME,0.823982991,0.470068268,0.356014768,0.127890546,4.481295743,0.110682093,0.224723563,0.497960761,0.925549887,1.061205201,0.094605789,0.269001238
Car,3.596796129,2.791972358,1.856330893,1.207765639,13.90894802,0.629832417,0.959471367,2.99683401,5.421571575,5.841113895,0.179308802,0.820741549
CBF,0.822594158,0.493202928,0.412731066,0.121927679,22.9006265,0.099103786,0.210503392,0.542673394,1.036426567,1.164894871,0.076196328,0.154684596
Chinatown,0.153674997,0.132364213,0.144288384,0.013629507,1.708101398,0.037995443,0.087834828,0.195081562,0.190235466,0.239691712,0.04459057,0.038043857
ChlorineConcentration,12.29282648,10.23778141,6.589592613,2.922592815,139.4924181,1.502623409,4.000008456,10.61360902,19.66949321,21.94677699,2.175751634,2.014337324
CinCECGTorso,6.619049929,6.329423968,3.087405783,2.450867806,473.55493,1.220702656,1.942661002,5.41499272,9.60343948,11.22474778,0.147300877,1.574147969
Coffee,1.186736055,0.822699443,0.596127906,0.261477306,3.17267595,0.183280699,0.290772162,0.790512919,1.448235765,1.655599564,0.100029096,0.269169651
Computers,19.8267554,16.72071163,8.714098901,7.947934635,72.26218763,2.925559975,5.350587897,15.90603863,29.89761812,31.64556401,1.808468066,3.563150719
CricketX,15.42007437,13.60517666,8.043654867,4.658741035,46.32591757,1.948689312,4.612803668,13.19075174,23.2501257,26.19535024,1.556230359,2.639549509
CricketY,14.88702258,12.75923034,8.316077414,5.050236423,46.51851594,1.922240518,4.544859894,12.856571,23.81784189,28.08695392,1.875136904,2.642342903
CricketZ,14.58379912,13.51647604,7.935706945,5.015700154,46.14238262,1.940310091,4.888282835,12.89021915,23.24643247,25.6390228,1.905957885,2.672030821
Crop,109.5872304,97.44638301,80.92866997,22.40287742,238.8093715,41.75622896,70.56816593,93.34586325,155.6057029,176.8239918,84.33111453,10.81517995
DiatomSizeReduction,0.793972794,0.560908187,0.387685088,0.138216175,21.9417315,0.152764127,0.210889623,0.584879391,1.094459333,1.154850356,0.070336856,0.214594051
DistalPhalanxOutlineAgeGroup,5.058422849,3.916432872,3.105816051,0.658908729,8.72877985,0.580549695,1.872586794,4.21888186,7.798461303,9.314766906,1.927674025,0.999727085
DistalPhalanxOutlineCorrect,8.215660233,6.513558052,4.587528061,1.215326428,14.02311606,1.091096789,2.536336035,6.357110031,12.12598912,13.72112811,3.055941276,1.539158799
DistalPhalanxTW,5.207967278,3.884191897,3.630416485,0.69008784,8.673649124,0.574070342,1.983666137,4.136910692,8.236688167,9.638449289,1.886875898,1.31738726
Earthquakes,22.64867696,19.74524229,12.6359564,7.22882019,47.2690041,2.635025471,6.847035743,20.42078025,35.73182502,41.70120624,1.560407788,3.912487529
ECG200,2.100928683,1.158178754,1.022177133,0.212851424,3.788802324,0.176185809,0.499317408,1.235710643,3.064146161,2.661351651,0.382231712,0.29949367
ECG5000,10.48745981,8.816434339,5.504618829,2.574320253,135.5204939,1.26231011,3.459074989,8.430928402,15.92834828,18.64631729,2.387821749,1.896557406
ECGFiveDays,0.680782922,0.413028054,0.326703506,0.107668187,23.27380565,0.091601022,0.168179929,0.424808733,0.768909611,0.872904845,0.076905102,0.140554406
ElectricDevices,211.5102926,180.4395231,126.6159364,55.13688408,358.3004635,68.13241524,124.6559216,186.6967204,293.9753017,331.6813496,123.6280788,26.11010889
EOGHorizontalSignal,44.65427579,51.05698997,24.6273585,26.3468759,182.8837453,7.199133657,12.6619334,37.73712339,69.28638618,76.87864397,1.806731552,8.505633086
EOGVerticalSignal,45.29815531,52.55832371,26.17252993,26.5674462,183.9451517,7.190840065,12.92928147,38.68997131,68.08239219,80.82146594,1.8169256,9.077060506
EthanolLevel,83.7945997,85.98789943,37.88583489,49.65103356,357.7761653,13.85056068,21.42332341,65.03418501,115.1301324,134.0176711,2.472872198,16.62522162
FaceAll,11.44154831,9.720820088,6.373260558,2.787571423,57.29183479,1.382001586,3.662297793,9.827395983,17.81083363,19.93308002,2.712797888,2.083517998
